,bag,monitoring_event,length,site
59,MVP-TX-5,1,28.95555556,York River
60,MVP-TX-6,1,31.25,York River
61,MVP-DEBY-1,2,42.86046512,Lewisetta
62,MVP-DEBY-2,2,40.46341463,Lewisetta
63,MVP-DEBY-3,2,42.04878049,Lewisetta
64,MVP-DEBY-4,2,38.575,York River
65,MVP-DEBY-5,2,33.925,York River
66,MVP-DEBY-6,2,38.21428571,York River
67,MVP-FL-1,2,39.65,Lewisetta
68,MVP-FL-2,2,42.2,Lewisetta
69,MVP-FL-3,2,38.14,Lewisetta
70,MVP-FL-4,2,40.15909091,York River
71,MVP-FL-5,2,43.43589744,York River
72,MVP-FL-6,2,41.53658537,York River
73,MVP-JR-1,2,34.57142857,Lewisetta
74,MVP-JR-2,2,46.36585366,Lewisetta
75,MVP-JR-3,2,38.38636364,Lewisetta
76,MVP-JR-4,2,36.75,York River
77,MVP-JR-5,2,35.225,York River
78,MVP-JR-6,2,37.525,York River
79,MVP-LA-1,2,41.22222222,Lewisetta
80,MVP-LA-2,2,41.58974359,Lewisetta
81,MVP-LA-3,2,42.1,Lewisetta
82,MVP-LA-4,2,32.475,York River
83,MVP-LA-5,2,33.3,York River
84,MVP-LA-6,2,33.725,York River
85,MVP-LARMIX-1,2,45.84615385,Lewisetta
86,MVP-LARMIX-2,2,45.15,Lewisetta
87,MVP-LARMIX-3,2,42.19512195,Lewisetta
88,MVP-LARMIX-4,2,35.02564103,York River
89,MVP-LARMIX-5,2,32.85,York River
90,MVP-LARMIX-6,2,38.875,York River
91,MVP-LOLA-1,2,43.81578947,Lewisetta
92,MVP-LOLA-2,2,47.425,Lewisetta
93,MVP-LOLA-3,2,40.175,Lewisetta
94,MVP-LOLA-4,2,38.975,York River
95,MVP-LOLA-5,2,36.97435897,York River
96,MVP-LOLA-6,2,38.05,York River
97,MVP-ME-1,2,36,Lewisetta
98,MVP-ME-2,2,36.19512195,Lewisetta
99,MVP-ME-3,2,29.6097561,Lewisetta
100,MVP-ME-4,2,33.12195122,York River
101,MVP-ME-5,2,34.375,York River
102,MVP-ME-6,2,36.45,York River
103,MVP-NH-1,2,32.15,Lewisetta
104,MVP-NH-2,2,33.35,Lewisetta
105,MVP-NH-3,2,31.09756098,Lewisetta
106,MVP-NH-4,2,28.78947368,York River
107,MVP-NH-5,2,29.2,York River
108,MVP-NH-6,2,27.92105263,York River
109,MVP-SEEDMIX-1,2,39.2,Lewisetta
110,MVP-SEEDMIX-2,2,42.71794872,Lewisetta
111,MVP-SEEDMIX-3,2,41,Lewisetta
112,MVP-SEEDMIX-4,2,34.4,York River
113,MVP-SEEDMIX-5,2,35.55,York River
114,MVP-SEEDMIX-6,2,38,York River
115,MVP-TX-1,2,44.43589744,Lewisetta
116,MVP-TX-2,2,45.74358974,Lewisetta
117,MVP-TX-3,2,43.09756098,Lewisetta
118,MVP-TX-4,2,37.05128205,York River
119,MVP-TX-5,2,36.4,York River
120,MVP-TX-6,2,37.65,York River
121,MVP-DEBY-1,3,64.61111111,Lewisetta
122,MVP-DEBY-2,3,64.47222222,Lewisetta
123,MVP-DEBY-3,3,75.26315789,Lewisetta
124,MVP-DEBY-4,3,45.5862069,York River
125,MVP-DEBY-5,3,59.73076923,York River
126,MVP-DEBY-6,3,60.1875,York River
127,MVP-FL-1,3,47.91666667,Lewisetta
128,MVP-FL-2,3,63.18421053,Lewisetta
129,MVP-FL-3,3,61.125,Lewisetta
130,MVP-FL-4,3,54.42857143,York River
131,MVP-FL-5,3,47.40909091,York River
132,MVP-FL-6,3,56.86206897,York River
133,MVP-JR-1,3,64.68571429,Lewisetta
134,MVP-JR-2,3,56.29411765,Lewisetta
135,MVP-JR-3,3,59.875,Lewisetta
136,MVP-JR-4,3,46.875,York River
137,MVP-JR-5,3,45.96774194,York River
138,MVP-JR-6,3,55.4,York River
139,MVP-LA-1,3,87.17647059,Lewisetta
140,MVP-LA-2,3,68.48648649,Lewisetta
141,MVP-LA-3,3,72.36111111,Lewisetta
142,MVP-LA-4,3,39.28571429,York River
143,MVP-LA-5,3,40.7037037,York River
144,MVP-LA-6,3,33.94736842,York River
145,MVP-LARMIX-1,3,70.08108108,Lewisetta
146,MVP-LARMIX-2,3,58,Lewisetta
147,MVP-LARMIX-3,3,50.65789474,Lewisetta
148,MVP-LARMIX-4,3,41.07407407,York River
149,MVP-LARMIX-5,3,31.35,York River
150,MVP-LARMIX-6,3,44.1875,York River
151,MVP-LOLA-1,3,69.97297297,Lewisetta
152,MVP-LOLA-2,3,77.37142857,Lewisetta
153,MVP-LOLA-3,3,80.6,Lewisetta
154,MVP-LOLA-4,3,41.66666667,York River
155,MVP-LOLA-5,3,51.38461538,York River
156,MVP-LOLA-6,3,50.25925926,York River
157,MVP-ME-1,3,50.575,Lewisetta
158,MVP-ME-2,3,48.02777778,Lewisetta
159,MVP-ME-3,3,37.75,Lewisetta
160,MVP-ME-4,3,35.23076923,York River
161,MVP-ME-5,3,34.04761905,York River
162,MVP-ME-6,3,43.16666667,York River
163,MVP-NH-1,3,35.55172414,Lewisetta
164,MVP-NH-2,3,45.02941176,Lewisetta
165,MVP-NH-3,3,29.2,Lewisetta
166,MVP-NH-4,3,41.16666667,York River
167,MVP-NH-5,3,40.0625,York River
168,MVP-NH-6,3,34.9,York River
169,MVP-SEEDMIX-1,3,39.24242424,Lewisetta
170,MVP-SEEDMIX-2,3,49.43589744,Lewisetta
171,MVP-SEEDMIX-3,3,67.43243243,Lewisetta
172,MVP-SEEDMIX-4,3,47.37931034,York River
173,MVP-SEEDMIX-5,3,47.19354839,York River
174,MVP-SEEDMIX-6,3,48.2962963,York River
175,MVP-TX-1,3,62.44444444,Lewisetta
176,MVP-TX-2,3,65.77777778,Lewisetta
177,MVP-TX-3,3,68.21621622,Lewisetta
178,MVP-TX-4,3,38.4516129,York River
179,MVP-TX-5,3,36.84,York River
180,MVP-TX-6,3,35.88,York River
