"","bag_site","pop","t","bags_label","tags_label","length","width"
"48","YorkRiver","W6-ME",2,"MVP-ME-4","C286",38,23
"49","YorkRiver","W6-ME",1,"MVP-ME-4","C286",35,21
"50","YorkRiver","W6-ME",2,"MVP-ME-5","A816",38,22
"51","YorkRiver","W6-ME",1,"MVP-ME-5","A816",39,23
"52","Lewisetta","W5-NH",2,"MVP-NH-2","B253",41,30
"53","Lewisetta","W5-NH",1,"MVP-NH-2","B253",32,21
"54","Lewisetta","W5-NH",3,"MVP-NH-2","B253",55,34
"55","YorkRiver","S1-LOLA",3,"MVP-LOLA-4","A923",61,40
"56","YorkRiver","S1-LOLA",2,"MVP-LOLA-4","A923",45,26
"57","YorkRiver","S1-LOLA",1,"MVP-LOLA-4","A923",43,27
"58","Lewisetta","W1-TX",2,"MVP-TX-3","E018",41,27
"59","Lewisetta","W1-TX",1,"MVP-TX-3","E018",32,24
"60","YorkRiver","W2-LA",3,"MVP-LA-5","C204",53,46
"61","YorkRiver","W2-LA",2,"MVP-LA-5","C204",40,25
"62","YorkRiver","W2-LA",1,"MVP-LA-5","C204",33,22
"63","YorkRiver","W2-LA",1,"MVP-LA-5","C237",24,19
"64","YorkRiver","W2-LA",3,"MVP-LA-5","C237",31,26
"65","YorkRiver","W2-LA",2,"MVP-LA-5","C237",30,26
"66","YorkRiver","W2-LA",1,"MVP-LA-4","A513",21,16
"67","YorkRiver","W2-LA",3,"MVP-LA-4","A513",43,29
"68","YorkRiver","W2-LA",2,"MVP-LA-4","A513",32,24
"69","Lewisetta","W5-NH",3,"MVP-NH-2","B259",48,33
"70","Lewisetta","W5-NH",1,"MVP-NH-2","B259",22,16
"71","Lewisetta","W5-NH",2,"MVP-NH-2","B259",29,23
"72","Lewisetta","W6-ME",3,"MVP-ME-3","A247",44,38
"73","Lewisetta","W6-ME",1,"MVP-ME-3","A247",26,21
"74","Lewisetta","W6-ME",2,"MVP-ME-3","A247",34,25
"75","YorkRiver","S1-LOLA",3,"MVP-LOLA-4","A905",54,35
"76","YorkRiver","S1-LOLA",2,"MVP-LOLA-4","A905",50,33
"77","YorkRiver","S1-LOLA",1,"MVP-LOLA-4","A905",42,27
"79","Lewisetta","H2-SEEDMIX",2,"MVP-SEEDMIX-2","A352",47,36
"80","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-2","A352",41,28
"81","YorkRiver","W5-NH",1,"MVP-NH-5","C076",35,23
"82","YorkRiver","W5-NH",2,"MVP-NH-5","C076",34,23
"83","YorkRiver","W4-VA",3,"MVP-JR-6","A784",66,57
"84","YorkRiver","W4-VA",2,"MVP-JR-6","A784",34,25
"85","YorkRiver","W4-VA",1,"MVP-JR-6","A784",31,21
"86","Lewisetta","S1-LOLA",1,"MVP-LOLA-3","A287",30,21
"87","Lewisetta","S1-LOLA",2,"MVP-LOLA-3","A287",38,29
"88","Lewisetta","S1-LOLA",3,"MVP-LOLA-3","A287",75,50
"89","Lewisetta","W4-VA",1,"MVP-JR-1","2070-B398",31,26
"90","Lewisetta","W4-VA",3,"MVP-JR-1","2070-B398",59,58
"91","Lewisetta","W4-VA",2,"MVP-JR-1","2070-B398",39,36
"92","YorkRiver","H2-SEEDMIX",3,"MVP-SEEDMIX-5","A557",73,45
"93","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-5","A557",38,22
"94","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-5","A557",28,16
"95","YorkRiver","W5-NH",2,"MVP-NH-4","A468",29,24
"96","YorkRiver","W5-NH",1,"MVP-NH-4","A468",22,19
"97","YorkRiver","S1-LOLA",2,"MVP-LOLA-5","C189",43,30
"98","YorkRiver","S1-LOLA",3,"MVP-LOLA-5","C189",54,37
"99","YorkRiver","S1-LOLA",1,"MVP-LOLA-5","C189",36,22
"100","YorkRiver","W5-NH",1,"MVP-NH-4","A484",26,19
"101","YorkRiver","W5-NH",2,"MVP-NH-4","A484",25,18
"102","YorkRiver","W3-FL",1,"MVP-FL-5","E487",41,21
"103","YorkRiver","W3-FL",2,"MVP-FL-5","E487",47,26
"104","YorkRiver","W4-VA",3,"MVP-JR-4","C159",67,40
"105","YorkRiver","W4-VA",1,"MVP-JR-4","C159",32,18
"106","YorkRiver","W4-VA",2,"MVP-JR-4","C159",45,26
"107","Lewisetta","S1-LOLA",3,"MVP-LOLA-2","A429",87,55
"108","Lewisetta","S1-LOLA",2,"MVP-LOLA-2","A429",63,43
"109","Lewisetta","S1-LOLA",1,"MVP-LOLA-2","A429",58,36
"110","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-5","A537",32,21
"111","YorkRiver","H2-SEEDMIX",3,"MVP-SEEDMIX-5","A537",44,29
"112","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-5","A537",28,17
"113","YorkRiver","W3-FL",2,"MVP-FL-6","E562",49,25
"114","YorkRiver","W3-FL",1,"MVP-FL-6","E562",45,26
"115","Lewisetta","W2-LA",1,"MVP-LA-3","B347",42,22
"116","Lewisetta","W2-LA",3,"MVP-LA-3","B347",61,37
"117","Lewisetta","W2-LA",2,"MVP-LA-3","B347",43,24
"118","YorkRiver","W3-FL",2,"MVP-FL-4","E392",46,30
"119","YorkRiver","W3-FL",3,"MVP-FL-4","E392",67,45
"120","YorkRiver","W3-FL",1,"MVP-FL-4","E392",40,25
"121","Lewisetta","W2-LA",1,"MVP-LA-3","A174",37,29
"122","Lewisetta","W2-LA",3,"MVP-LA-3","A174",55,49
"123","Lewisetta","W2-LA",2,"MVP-LA-3","A174",40,34
"124","YorkRiver","W1-TX",2,"MVP-TX-6","C361",47,30
"125","YorkRiver","W1-TX",1,"MVP-TX-6","C361",41,26
"126","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-6","C340",24,19
"127","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-6","C340",27,23
"128","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-4","A753",45,25
"129","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-4","A753",44,26
"130","Lewisetta","W3-FL",1,"MVP-FL-3","E095",38,24
"131","Lewisetta","W3-FL",2,"MVP-FL-3","E095",42,20
"132","YorkRiver","W1-TX",2,"MVP-TX-6","C367",32,25
"133","YorkRiver","W1-TX",1,"MVP-TX-6","C367",30,22
"134","YorkRiver","W1-TX",3,"MVP-TX-6","C367",23,21
"135","Lewisetta","W1-TX",2,"MVP-TX-3","E016",46,35
"136","Lewisetta","W1-TX",1,"MVP-TX-3","E016",36,29
"137","YorkRiver","W2-LA",2,"MVP-LA-4","A502",32,27
"138","YorkRiver","W2-LA",1,"MVP-LA-4","A502",29,24
"139","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-3","B100",22,23
"140","Lewisetta","H2-SEEDMIX",3,"MVP-SEEDMIX-3","B100",56,46
"141","Lewisetta","H2-SEEDMIX",2,"MVP-SEEDMIX-3","B100",26,24
"142","YorkRiver","W1-TX",2,"MVP-TX-6","C373",40,24
"143","YorkRiver","W1-TX",1,"MVP-TX-6","C373",33,20
"144","Lewisetta","W5-NH",1,"MVP-NH-2","B284",27,19
"145","Lewisetta","W5-NH",2,"MVP-NH-2","B284",30,22
"146","Lewisetta","W1-TX",2,"MVP-TX-2","B077",50,30
"147","Lewisetta","W1-TX",1,"MVP-TX-2","B077",45,27
"148","Lewisetta","W5-NH",2,"MVP-NH-2","B279",33,25
"149","Lewisetta","W5-NH",1,"MVP-NH-2","B279",26,17
"150","Lewisetta","W5-NH",3,"MVP-NH-2","B279",42,29
"151","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-5","A699",34,20
"152","YorkRiver","H1-HYBRIDMIX",2,"MVP-LARMIX-5","A699",37,23
"153","YorkRiver","H1-HYBRIDMIX",3,"MVP-LARMIX-5","A699",60,37
"154","Lewisetta","W2-LA",1,"MVP-LA-2","E283",38,29
"155","Lewisetta","W2-LA",2,"MVP-LA-2","E283",43,33
"156","Lewisetta","W2-LA",3,"MVP-LA-2","E283",69,41
"157","YorkRiver","W4-VA",1,"MVP-JR-5","A670",30,23
"158","YorkRiver","W4-VA",2,"MVP-JR-5","A670",37,27
"159","YorkRiver","W4-VA",3,"MVP-JR-5","A670",56,43
"160","Lewisetta","S1-LOLA",2,"MVP-LOLA-3","A271",44,30
"162","Lewisetta","S1-LOLA",1,"MVP-LOLA-3","A271",40,26
"163","Lewisetta","W4-VA",3,"MVP-JR-3","B404",76,45
"164","Lewisetta","W4-VA",2,"MVP-JR-3","B404",47,33
"165","Lewisetta","W4-VA",1,"MVP-JR-3","B404",37,24
"166","YorkRiver","W2-LA",3,"MVP-LA-5","C230",50,46
"167","YorkRiver","W2-LA",1,"MVP-LA-5","C230",26,18
"168","YorkRiver","W2-LA",2,"MVP-LA-5","C230",32,31
"169","YorkRiver","W6-ME",2,"MVP-ME-4","C293",42,24
"170","YorkRiver","W6-ME",3,"MVP-ME-4","C293",32,26
"171","YorkRiver","W6-ME",1,"MVP-ME-4","C293",39,24
"172","Lewisetta","W3-FL",3,"MVP-FL-2","E077",66,44
"173","Lewisetta","W3-FL",1,"MVP-FL-2","E077",35,28
"174","Lewisetta","W3-FL",2,"MVP-FL-2","E077",40,29
"175","YorkRiver","W3-FL",1,"MVP-FL-5","E474",48,26
"176","YorkRiver","W3-FL",2,"MVP-FL-5","E474",54,30
"177","YorkRiver","W3-FL",2,"MVP-FL-6","E554",46,25
"178","YorkRiver","W3-FL",1,"MVP-FL-6","E554",41,24
"179","YorkRiver","W3-FL",3,"MVP-FL-6","E554",46,33
"180","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-5","A566",44,30
"181","YorkRiver","H2-SEEDMIX",3,"MVP-SEEDMIX-5","A566",63,50
"182","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-5","A566",40,25
"183","Lewisetta","W4-VA",1,"MVP-JR-3","D754",29,23
"184","Lewisetta","W4-VA",2,"MVP-JR-3","D754",39,29
"185","Lewisetta","W1-TX",1,"MVP-TX-2","B068",41,25
"186","Lewisetta","W1-TX",3,"MVP-TX-2","B068",81,49
"187","Lewisetta","W1-TX",2,"MVP-TX-2","B068",49,29
"188","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-6","C321",37,24
"189","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-6","C321",40,27
"190","YorkRiver","H2-SEEDMIX",3,"MVP-SEEDMIX-6","C321",39,29
"191","Lewisetta","W5-NH",2,"MVP-NH-3","B044",26,16
"192","Lewisetta","W5-NH",3,"MVP-NH-3","B044",24,15
"193","Lewisetta","W5-NH",1,"MVP-NH-3","B044",25,15
"194","YorkRiver","W3-FL",2,"MVP-FL-5","E477",42,24
"195","YorkRiver","W3-FL",3,"MVP-FL-5","E477",42,23
"196","YorkRiver","W3-FL",1,"MVP-FL-5","E477",40,23
"197","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-5","A717",29,19
"198","YorkRiver","H1-HYBRIDMIX",3,"MVP-LARMIX-5","A717",36,21
"199","YorkRiver","H1-HYBRIDMIX",2,"MVP-LARMIX-5","A717",31,23
"200","YorkRiver","W3-FL",2,"MVP-FL-4","E389",50,27
"201","YorkRiver","W3-FL",3,"MVP-FL-4","E389",62,34
"202","YorkRiver","W3-FL",1,"MVP-FL-4","E389",45,25
"203","YorkRiver","W2-LA",2,"MVP-LA-5","C200",38,26
"205","YorkRiver","W2-LA",1,"MVP-LA-5","C200",37,25
"206","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-6","E361",42,29
"208","YorkRiver","H1-HYBRIDMIX",2,"MVP-LARMIX-6","E361",44,27
"209","Lewisetta","S1-LOLA",2,"MVP-LOLA-1","B178",50,34
"210","Lewisetta","S1-LOLA",1,"MVP-LOLA-1","B178",42,22
"211","Lewisetta","S1-LOLA",3,"MVP-LOLA-1","B178",94,46
"212","YorkRiver","W1-TX",2,"MVP-TX-5","C012",45,36
"213","YorkRiver","W1-TX",3,"MVP-TX-5","C012",49,41
"214","YorkRiver","W1-TX",1,"MVP-TX-5","C012",36,24
"215","YorkRiver","W2-LA",1,"MVP-LA-6","A887",30,23
"216","YorkRiver","W2-LA",2,"MVP-LA-6","A887",34,25
"217","YorkRiver","W2-LA",3,"MVP-LA-6","A887",42,31
"218","Lewisetta","W3-FL",1,"MVP-FL-1","2146",32,21
"219","Lewisetta","W3-FL",2,"MVP-FL-1","2146",34,23
"220","Lewisetta","W3-FL",3,"MVP-FL-1","2146",76,47
"221","Lewisetta","S2-DEBY",2,"MVP-DEBY-1","A151",33,24
"222","Lewisetta","S2-DEBY",3,"MVP-DEBY-1","A151",53,35
"223","Lewisetta","S2-DEBY",1,"MVP-DEBY-1","A151",30,23
"224","YorkRiver","W1-TX",2,"MVP-TX-4","C244",31,22
"225","YorkRiver","W1-TX",3,"MVP-TX-4","C244",27,19
"226","YorkRiver","W1-TX",1,"MVP-TX-4","C244",27,20
"227","Lewisetta","W1-TX",1,"MVP-TX-1","E198",25,18
"228","Lewisetta","W1-TX",2,"MVP-TX-1","E198",29,20
"229","Lewisetta","W1-TX",3,"MVP-TX-1","E198",65,49
"231","YorkRiver","W4-VA",1,"MVP-JR-5","A666",33,22
"232","YorkRiver","W4-VA",2,"MVP-JR-5","A666",38,24
"233","Lewisetta","W1-TX",2,"MVP-TX-2","B076",43,34
"234","Lewisetta","W1-TX",3,"MVP-TX-2","B076",69,46
"235","Lewisetta","W1-TX",1,"MVP-TX-2","B076",38,28
"236","YorkRiver","H1-HYBRIDMIX",2,"MVP-LARMIX-6","E359",42,21
"237","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-6","E359",40,21
"238","YorkRiver","H1-HYBRIDMIX",3,"MVP-LARMIX-6","E359",43,21
"240","YorkRiver","W1-TX",1,"MVP-TX-4","C278",34,22
"242","YorkRiver","W1-TX",2,"MVP-TX-4","C278",39,25
"243","Lewisetta","S2-DEBY",3,"MVP-DEBY-1","A155",71,48
"244","Lewisetta","S2-DEBY",2,"MVP-DEBY-1","A155",53,44
"245","Lewisetta","S2-DEBY",1,"MVP-DEBY-1","A155",44,37
"246","Lewisetta","W6-ME",3,"MVP-ME-2","D784",57,39
"247","Lewisetta","W6-ME",1,"MVP-ME-2","D784",37,24
"248","Lewisetta","W6-ME",2,"MVP-ME-2","D784",44,35
"249","Lewisetta","W5-NH",1,"MVP-NH-3","B040",28,18
"251","Lewisetta","W5-NH",2,"MVP-NH-3","B040",29,19
"252","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-2","A357",20,13
"253","Lewisetta","H2-SEEDMIX",3,"MVP-SEEDMIX-2","A357",42,28
"254","Lewisetta","H2-SEEDMIX",2,"MVP-SEEDMIX-2","A357",27,19
"255","YorkRiver","W5-NH",2,"MVP-NH-4","A457",27,21
"256","YorkRiver","W5-NH",1,"MVP-NH-4","A457",24,18
"257","YorkRiver","W2-LA",1,"MVP-LA-6","A868",27,19
"258","YorkRiver","W2-LA",2,"MVP-LA-6","A868",28,19
"259","Lewisetta","W3-FL",1,"MVP-FL-2","E049",30,17
"260","Lewisetta","S2-DEBY",2,"MVP-DEBY-1","A125",53,35
"261","Lewisetta","S2-DEBY",3,"MVP-DEBY-1","A125",78,56
"262","Lewisetta","S2-DEBY",1,"MVP-DEBY-1","A125",53,33
"263","YorkRiver","W3-FL",3,"MVP-FL-6","E549",56,32
"264","YorkRiver","W3-FL",2,"MVP-FL-6","E549",42,23
"265","YorkRiver","W3-FL",1,"MVP-FL-6","E549",40,22
"266","YorkRiver","S1-LOLA",2,"MVP-LOLA-4","A908",30,17
"267","YorkRiver","S1-LOLA",1,"MVP-LOLA-4","A908",31,18
"269","Lewisetta","H1-HYBRIDMIX",1,"MVP-LARMIX-3","E240",40,23
"270","Lewisetta","H1-HYBRIDMIX",2,"MVP-LARMIX-3","E240",47,28
"271","Lewisetta","W3-FL",2,"MVP-FL-2","E082",39,25
"272","Lewisetta","W3-FL",1,"MVP-FL-2","E082",35,25
"273","Lewisetta","W3-FL",3,"MVP-FL-2","E082",46,32
"274","Lewisetta","W1-TX",1,"MVP-TX-1","E203",33,20
"275","Lewisetta","W1-TX",2,"MVP-TX-1","E203",36,24
"278","Lewisetta","W6-ME",1,"MVP-ME-2","2115",30,19
"279","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-6","C348",21,14
"280","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-6","C348",31,22
"281","YorkRiver","H2-SEEDMIX",3,"MVP-SEEDMIX-6","C348",68,51
"282","Lewisetta","W5-NH",2,"MVP-NH-3","B032",21,16
"283","Lewisetta","W5-NH",1,"MVP-NH-3","B032",21,15
"285","Lewisetta","S2-DEBY",1,"MVP-DEBY-2","E174-B298",26,22
"286","Lewisetta","S2-DEBY",3,"MVP-DEBY-2","E174-B298",82,58
"287","Lewisetta","S2-DEBY",2,"MVP-DEBY-2","E174-B298",37,26
"288","YorkRiver","W3-FL",2,"MVP-FL-5","E493",36,20
"289","YorkRiver","W3-FL",3,"MVP-FL-5","E493",63,37
"290","YorkRiver","W3-FL",1,"MVP-FL-5","E493",30,16
"291","YorkRiver","W5-NH",1,"MVP-NH-4","A463",27,22
"292","YorkRiver","W5-NH",2,"MVP-NH-4","A463",27,23
"293","YorkRiver","W2-LA",3,"MVP-LA-4","A500",28,20
"294","YorkRiver","W2-LA",2,"MVP-LA-4","A500",31,22
"295","YorkRiver","W2-LA",1,"MVP-LA-4","A500",29,21
"296","Lewisetta","W5-NH",2,"MVP-NH-2","B278",35,28
"297","Lewisetta","W5-NH",3,"MVP-NH-2","B278",53,33
"298","Lewisetta","W5-NH",1,"MVP-NH-2","B278",29,23
"299","Lewisetta","W2-LA",2,"MVP-LA-2","E279",54,35
"300","Lewisetta","W2-LA",1,"MVP-LA-2","E279",49,32
"301","Lewisetta","W2-LA",3,"MVP-LA-2","E279",87,59
"302","Lewisetta","W5-NH",1,"MVP-NH-2","B285",25,18
"303","Lewisetta","W5-NH",3,"MVP-NH-2","B285",57,34
"304","Lewisetta","W5-NH",2,"MVP-NH-2","B285",29,20
"305","Lewisetta","W3-FL",3,"MVP-FL-2","E056",68,42
"306","Lewisetta","W3-FL",2,"MVP-FL-2","E056",42,28
"307","Lewisetta","W3-FL",1,"MVP-FL-2","E056",41,22
"308","Lewisetta","W3-FL",2,"MVP-FL-2","E067",42,28
"309","Lewisetta","W3-FL",3,"MVP-FL-2","E067",39,25
"310","Lewisetta","W3-FL",1,"MVP-FL-2","E067",36,29
"311","YorkRiver","S1-LOLA",2,"MVP-LOLA-6","E438",29,18
"312","YorkRiver","S1-LOLA",1,"MVP-LOLA-6","E438",29,20
"313","YorkRiver","S1-LOLA",3,"MVP-LOLA-6","E438",54,40
"314","YorkRiver","S1-LOLA",2,"MVP-LOLA-4","A926",50,29
"315","YorkRiver","S1-LOLA",1,"MVP-LOLA-4","A926",47,28
"316","YorkRiver","S1-LOLA",3,"MVP-LOLA-4","A926",67,42
"317","Lewisetta","W4-VA",1,"MVP-JR-1","B391",34,29
"318","Lewisetta","W4-VA",3,"MVP-JR-1","B391",64,53
"319","Lewisetta","W4-VA",2,"MVP-JR-1","B391",41,36
"320","Lewisetta","H2-SEEDMIX",3,"MVP-SEEDMIX-2","A369",69,56
"321","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-2","A369",31,23
"322","Lewisetta","H2-SEEDMIX",2,"MVP-SEEDMIX-2","A369",38,27
"323","Lewisetta","S1-LOLA",3,"MVP-LOLA-2","A431",83,59
"324","Lewisetta","S1-LOLA",2,"MVP-LOLA-2","A431",44,28
"325","Lewisetta","S1-LOLA",1,"MVP-LOLA-2","A431",42,29
"326","Lewisetta","H1-HYBRIDMIX",2,"MVP-LARMIX-1","A410",48,25
"327","Lewisetta","H1-HYBRIDMIX",3,"MVP-LARMIX-1","A410",78,53
"328","Lewisetta","H1-HYBRIDMIX",1,"MVP-LARMIX-1","A410",44,24
"329","YorkRiver","W4-VA",1,"MVP-JR-4","C135",39,25
"330","YorkRiver","W4-VA",2,"MVP-JR-4","C135",40,25
"331","YorkRiver","W4-VA",3,"MVP-JR-4","C135",70,56
"332","YorkRiver","W6-ME",1,"MVP-ME-5","A846",28,18
"333","YorkRiver","W6-ME",2,"MVP-ME-5","A846",29,19
"334","YorkRiver","H2-SEEDMIX",3,"MVP-SEEDMIX-4","A760",61,46
"335","YorkRiver","H2-SEEDMIX",2,"MVP-SEEDMIX-4","A760",48,32
"336","YorkRiver","H2-SEEDMIX",1,"MVP-SEEDMIX-4","A760",44,27
"337","YorkRiver","S2-DEBY",2,"MVP-DEBY-5","A602",40,28
"338","YorkRiver","S2-DEBY",1,"MVP-DEBY-5","A602",40,28
"339","Lewisetta","H2-SEEDMIX",2,"MVP-SEEDMIX-3","B109",36,24
"340","Lewisetta","H2-SEEDMIX",3,"MVP-SEEDMIX-3","B109",68,36
"341","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-3","B109",35,23
"342","YorkRiver","W1-TX",2,"MVP-TX-5","C006",41,28
"343","YorkRiver","W1-TX",1,"MVP-TX-5","C006",37,26
"344","YorkRiver","W1-TX",3,"MVP-TX-5","C006",60,48
"345","YorkRiver","W2-LA",2,"MVP-LA-5","C221",38,31
"346","YorkRiver","W2-LA",1,"MVP-LA-5","C221",33,22
"348","YorkRiver","W3-FL",1,"MVP-FL-5","E486",37,21
"349","YorkRiver","W3-FL",2,"MVP-FL-5","E486",39,23
"350","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-2","SEEDMIX-2-extra",10,7
"351","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-2","SEEDMIX-2-extra",17,11
"352","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-2","SEEDMIX-2-extra",14,7
"353","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-2","SEEDMIX-2-extra",12,10
"354","YorkRiver","H1-HYBRIDMIX",2,"MVP-LARMIX-4","E337",30,21
"356","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-4","E337",26,17
"357","YorkRiver","W5-NH",2,"MVP-NH-5","C064",29,20
"358","YorkRiver","W5-NH",1,"MVP-NH-5","C064",27,21
"359","YorkRiver","W1-TX",1,"MVP-TX-5","C007",37,24
"360","YorkRiver","W1-TX",2,"MVP-TX-5","C007",42,28
"362","Lewisetta","H2-SEEDMIX",1,"MVP-SEEDMIX-3","B121",37,25
"363","Lewisetta","H2-SEEDMIX",2,"MVP-SEEDMIX-3","B121",44,32
"364","Lewisetta","S1-LOLA",2,"MVP-LOLA-1","B194",42,22
"365","Lewisetta","S1-LOLA",1,"MVP-LOLA-1","B194",45,21
"366","Lewisetta","S1-LOLA",3,"MVP-LOLA-1","B194",90,57
"367","YorkRiver","W5-NH",1,"MVP-NH-5","C062",29,21
"368","YorkRiver","W5-NH",2,"MVP-NH-5","C062",33,21
"369","Lewisetta","H1-HYBRIDMIX",2,"MVP-LARMIX-2","A296",50,35
"371","Lewisetta","H1-HYBRIDMIX",1,"MVP-LARMIX-2","A296",47,35
"372","Lewisetta","W1-TX",1,"MVP-TX-3","E021",34,20
"373","Lewisetta","W1-TX",2,"MVP-TX-3","E021",46,31
"374","Lewisetta","W1-TX",3,"MVP-TX-3","E021",78,45
"375","Lewisetta","W3-FL",3,"MVP-FL-3","E122",64,43
"376","Lewisetta","W3-FL",2,"MVP-FL-3","E122",33,27
"377","Lewisetta","W3-FL",1,"MVP-FL-3","E122",33,25
"378","YorkRiver","S2-DEBY",1,"MVP-DEBY-4","E598",33,19
"379","YorkRiver","S2-DEBY",2,"MVP-DEBY-4","E598",36,23
"380","YorkRiver","S2-DEBY",3,"MVP-DEBY-4","E598",64,46
"381","Lewisetta","S2-DEBY",3,"MVP-DEBY-2","E197",69,49
"382","Lewisetta","S2-DEBY",2,"MVP-DEBY-2","E197",30,20
"383","Lewisetta","S2-DEBY",1,"MVP-DEBY-2","E197",23,12
"384","YorkRiver","H1-HYBRIDMIX",3,"MVP-LARMIX-4","E328",47,33
"385","YorkRiver","H1-HYBRIDMIX",1,"MVP-LARMIX-4","E328",20,11
