"phenotyping_key","phenotyping_label","phenotyping_bag_key","phenotyping_timestamp","shell_length_mm","shell_width_mm","tissue_wetweight_g","shell_dryweight_g","tissue_dryweight_g","phenotyping_notes","macroparasites","username","phenBags_TissueCollected","phenBags_VialLabel","FreezerBox_ID","phenBags_VialBuffer","phenBags_tissueType","phenBags_ShellBagID","CI","samplingTimePoint","site","population","bagID","grouping","site.pop"
"89d2cbeb","2023-11-29_MVP-DEBY-4__12","c247e0a9","2023-12-14",23,16,0.31,1.06,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.83018867924528,"2023-11","YR","S2-DEBY","DEBY-4","Selection","YR.DEBY"
"c0587170","2023-11-29_MVP-DEBY-4__13","c247e0a9","2023-12-14",38,23,0.74,3.17,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.52365930599369,"2023-11","YR","S2-DEBY","DEBY-4","Selection","YR.DEBY"
"44e7eb07","2023-11-29_MVP-DEBY-4__14","c247e0a9","2023-12-14",31,22,0.57,1.92,0.1,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,5.20833333333333,"2023-11","YR","S2-DEBY","DEBY-4","Selection","YR.DEBY"
"236bc3a8","2023-11-29_MVP-DEBY-4__15","c247e0a9","2023-12-14",51,30,1.74,5.54,0.16,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.88808664259928,"2023-11","YR","S2-DEBY","DEBY-4","Selection","YR.DEBY"
"efc288a0","2023-11-29_MVP-DEBY-4__16","c247e0a9","2023-12-14",30,20,0.46,1.89,0.04,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.11640211640212,"2023-11","YR","S2-DEBY","DEBY-4","Selection","YR.DEBY"
"ce1ab965","2023-11-9_MVP-SEEDMIX-4__17","060ac518","2023-12-14",47,28,1.59,5.8,0.18,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.10344827586207,"2023-11","YR","H2-SEEDMIX","SEEDMIX-4","Mixtures","YR.SEEDMIX"
"e62ad1f1","2023-11-9_MVP-SEEDMIX-4__18","060ac518","2023-12-14",25,18,0.32,1.16,0.06,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,5.17241379310345,"2023-11","YR","H2-SEEDMIX","SEEDMIX-4","Mixtures","YR.SEEDMIX"
"7b0aa0ed","2023-11-9_MVP-SEEDMIX-4__19","060ac518","2023-12-14",17,13,0.11,0.56,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,5.35714285714286,"2023-11","YR","H2-SEEDMIX","SEEDMIX-4","Mixtures","YR.SEEDMIX"
"ac037a59","2023-11-9_MVP-SEEDMIX-4__20","060ac518","2023-12-14",31,22,0.75,2.95,0.1,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.38983050847458,"2023-11","YR","H2-SEEDMIX","SEEDMIX-4","Mixtures","YR.SEEDMIX"
"4b6c81ea","2023-11-9_MVP-SEEDMIX-4__21","060ac518","2023-12-14",14,11,0.05,0.43,0,"negligible tissue dry weight",NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,0,"2023-11","YR","H2-SEEDMIX","SEEDMIX-4","Mixtures","YR.SEEDMIX"
"0d3d6fc8","2023-11-29_MVP-FL-5__22","271244cc","2023-12-14",32,17,0.42,1.73,0.02,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.15606936416185,"2023-11","YR","W3-FL","FL-5","Wild","YR.FL"
"06269c93","2023-11-29_MVP-FL-5__23","271244cc","2023-12-14",33,19,0.5,1.98,0.04,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.02020202020202,"2023-11","YR","W3-FL","FL-5","Wild","YR.FL"
"e1699271","2023-11-29_MVP-FL-5__24","271244cc","2023-12-14",46,26,1.17,3.85,0.13,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.37662337662338,"2023-11","YR","W3-FL","FL-5","Wild","YR.FL"
"00e2d308","2023-11-29_MVP-FL-5__25","271244cc","2023-12-14",47,27,1.3,4.91,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.62932790224033,"2023-11","YR","W3-FL","FL-5","Wild","YR.FL"
"276c98d1","2023-11-29_MVP-FL-5__26","271244cc","2023-12-14",38,20,0.6,2.88,0.07,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.43055555555556,"2023-11","YR","W3-FL","FL-5","Wild","YR.FL"
"d9d9d307","2023-11-29_MVP-ME-5__27","154f001c","2023-12-14",16,12,0.06,0.35,0,"negligible dry tissue weight - did not register on scale",NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,0,"2023-11","YR","W6-ME","ME-5","Wild","YR.ME"
"aca98532","2023-11-29_MVP-ME-5__28","154f001c","2023-12-14",34,22,0.46,2.13,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.40845070422535,"2023-11","YR","W6-ME","ME-5","Wild","YR.ME"
"9c0c7ac7","2023-11-29_MVP-ME-5__29","154f001c","2023-12-14",31,19,0.63,1.78,0.09,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,5.0561797752809,"2023-11","YR","W6-ME","ME-5","Wild","YR.ME"
"69b7c626","2023-11-29_MVP-ME-5__30","154f001c","2023-12-14",35,23,0.59,2.16,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.7037037037037,"2023-11","YR","W6-ME","ME-5","Wild","YR.ME"
"b50f88c6","2023-11-29_MVP-ME-5__31","154f001c","2023-12-14",23,15,0.17,0.84,0.01,"tissue dryweight 0.008",NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.19047619047619,"2023-11","YR","W6-ME","ME-5","Wild","YR.ME"
"0a9dc0ed","2023-11-29_MVP-TX-4__32","8fcf6ad6","2023-12-14",21,15,0.2,0.93,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.2258064516129,"2023-11","YR","W1-TX","TX-4","Wild","YR.TX"
"7b6fe329","2023-11-29_MVP-TX-4__33","8fcf6ad6","2023-12-14",26,18,0.25,1.35,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.22222222222222,"2023-11","YR","W1-TX","TX-4","Wild","YR.TX"
"fa66fa1b","2023-11-29_MVP-TX-4__34","8fcf6ad6","2023-12-14",36,24,0.97,3.59,0.12,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.34261838440111,"2023-11","YR","W1-TX","TX-4","Wild","YR.TX"
"3aaab0c7","2023-11-29_MVP-TX-4__35","8fcf6ad6","2023-12-14",32,21,0.68,2.55,0.06,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.35294117647059,"2023-11","YR","W1-TX","TX-4","Wild","YR.TX"
"16797b9c","2023-11-29_MVP-TX-4__36","8fcf6ad6","2023-12-14",35,25,1.15,3.58,0.1,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.79329608938547,"2023-11","YR","W1-TX","TX-4","Wild","YR.TX"
"0e2a6690","2023-11-29_MVP-LOLA-4__37","70003775","2023-12-14",30,20,0.48,2.02,0.16,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,7.92079207920792,"2023-11","YR","S1-LOLA","LOLA-4","Selection","YR.LOLA"
"f0df0837","2023-11-29_MVP-LOLA-4__38","70003775","2023-12-14",27,17,0.37,1.57,0.02,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.27388535031847,"2023-11","YR","S1-LOLA","LOLA-4","Selection","YR.LOLA"
"c71d82f4","2023-11-29_MVP-LOLA-4__39","70003775","2023-12-14",33,18,0.43,2.15,0.05,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.32558139534884,"2023-11","YR","S1-LOLA","LOLA-4","Selection","YR.LOLA"
"4a1483b8","2023-11-29_MVP-LOLA-4__40","70003775","2023-12-14",25,17,0.25,1.15,0.02,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.73913043478261,"2023-11","YR","S1-LOLA","LOLA-4","Selection","YR.LOLA"
"d5dded05","2023-11-29_MVP-LOLA-4__41","70003775","2023-12-14",31,20,0.41,1.9,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.57894736842105,"2023-11","YR","S1-LOLA","LOLA-4","Selection","YR.LOLA"
"95e810da","2023-11-29_MVP-LARMIX-5__42","75d0a2e7","2023-12-14",25,17,0.31,1.39,0.07,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,5.03597122302158,"2023-11","YR","H1-LARMIX","LARMIX-5","Mixtures","YR.LARMIX"
"396cfc80","2023-11-29_MVP-LARMIX-5__43","75d0a2e7","2023-12-14",20,13,0.17,0.74,0.02,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.7027027027027,"2023-11","YR","H1-LARMIX","LARMIX-5","Mixtures","YR.LARMIX"
"88b0c919","2023-11-29_MVP-LARMIX-5__44","75d0a2e7","2023-12-14",36,26,1.1,3.44,0.11,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.19767441860465,"2023-11","YR","H1-LARMIX","LARMIX-5","Mixtures","YR.LARMIX"
"1026ab9c","2023-11-29_MVP-LARMIX-5__45","75d0a2e7","2023-12-14",45,30,2.04,6.71,0.23,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.42771982116244,"2023-11","YR","H1-LARMIX","LARMIX-5","Mixtures","YR.LARMIX"
"ed66d9dd","2023-11-29_MVP-LARMIX-5__46","75d0a2e7","2023-12-14",26,17,0.27,1.27,0.04,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.1496062992126,"2023-11","YR","H1-LARMIX","LARMIX-5","Mixtures","YR.LARMIX"
"63f0964e","2023-11-29_MVP-TX-6__47","758e6ee0","2023-12-14",27,21,0.56,2.2,0.05,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.27272727272727,"2023-11","YR","W1-TX","TX-6","Wild","YR.TX"
"6a1a55aa","2023-11-29_MVP-TX-6__48","758e6ee0","2023-12-14",30,22,0.6,2.29,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.49344978165939,"2023-11","YR","W1-TX","TX-6","Wild","YR.TX"
"36fb909a","2023-11-29_MVP-TX-6__49","758e6ee0","2023-12-14",21,17,0.2,1.06,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.83018867924528,"2023-11","YR","W1-TX","TX-6","Wild","YR.TX"
"25eddad0","2023-11-29_MVP-TX-6__50","758e6ee0","2023-12-14",30,25,0.72,2.78,0.1,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.59712230215827,"2023-11","YR","W1-TX","TX-6","Wild","YR.TX"
"43cd0dc5","2023-11-29_MVP-TX-6__51","758e6ee0","2023-12-14",38,23,0.98,3.26,0.11,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.37423312883436,"2023-11","YR","W1-TX","TX-6","Wild","YR.TX"
"e06ec232","2023-11-29_MVP-JR-6__52","2d315fa1","2023-12-14",20,14,0.19,0.7,0.05,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,7.14285714285714,"2023-11","YR","W4-VA","JR-6","Wild","YR.VA"
"000d447e","2023-11-29_MVP-JR-6__53","2d315fa1","2023-12-14",23,17,0.3,1.16,0.06,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,5.17241379310345,"2023-11","YR","W4-VA","JR-6","Wild","YR.VA"
"59fabc97","2023-11-29_MVP-JR-6__54","2d315fa1","2023-12-14",26,17,0.35,1.1,0.04,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.63636363636364,"2023-11","YR","W4-VA","JR-6","Wild","YR.VA"
"6dfbcaa3","2023-11-29_MVP-JR-6__55","2d315fa1","2023-12-14",35,24,0.69,2.97,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.69360269360269,"2023-11","YR","W4-VA","JR-6","Wild","YR.VA"
"ccc994c0","2023-11-29_MVP-JR-6__56","2d315fa1","2023-12-14",42,25,1.31,4.32,0.16,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.7037037037037,"2023-11","YR","W4-VA","JR-6","Wild","YR.VA"
"25876c43","2023-11-29_MVP-ME-4__57","f54c2f63","2023-12-14",25,16,0.29,0.89,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.37078651685393,"2023-11","YR","W6-ME","ME-4","Wild","YR.ME"
"b76d8be7","2023-11-29_MVP-ME-4__58","f54c2f63","2023-12-14",23,13,0.2,0.67,0.02,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.98507462686567,"2023-11","YR","W6-ME","ME-4","Wild","YR.ME"
"ab753b8e","2023-11-29_MVP-ME-4__59","f54c2f63","2023-12-14",22,14,0.31,0.75,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4,"2023-11","YR","W6-ME","ME-4","Wild","YR.ME"
"70753f85","2023-11-29_MVP-ME-4__61","f54c2f63","2023-12-14",39,25,1.12,2.92,0.12,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.10958904109589,"2023-11","YR","W6-ME","ME-4","Wild","YR.ME"
"1709a2b6","2023-11-29_MVP-FL-6__63","0c1abf43","2023-12-14",38,22,0.71,2.81,0.1,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.55871886120996,"2023-11","YR","W3-FL","FL-6","Wild","YR.FL"
"44ca43ab","2023-11-29_MVP-FL-6__64","0c1abf43","2023-12-14",43,24,0.83,3.74,0.11,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.94117647058824,"2023-11","YR","W3-FL","FL-6","Wild","YR.FL"
"c53f8780","2023-11-29_MVP-FL-6__65","0c1abf43","2023-12-14",45,27,1.12,4.91,0.14,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.85132382892057,"2023-11","YR","W3-FL","FL-6","Wild","YR.FL"
"ff47721c","2023-11-29_MVP-FL-6__66","0c1abf43","2023-12-14",46,27,1.16,4.23,0.16,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.78250591016548,"2023-11","YR","W3-FL","FL-6","Wild","YR.FL"
"60ba6338","2023-11-29_MVP-FL-6__67","0c1abf43","2023-12-14",45,24,1.19,4.14,0.13,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.14009661835749,"2023-11","YR","W3-FL","FL-6","Wild","YR.FL"
"df9265c5","2023-11-10_MVP-SEEDMIX-5__68","32663dce","2023-12-14",20,12,0.1,0.58,0.05,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,8.62068965517241,"2023-11","YR","H2-SEEDMIX","SEEDMIX-5","Mixtures","YR.SEEDMIX"
"54aeb05d","2023-11-10_MVP-SEEDMIX-5__69","32663dce","2023-12-14",39,20,0.63,2.53,0.1,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.95256916996048,"2023-11","YR","H2-SEEDMIX","SEEDMIX-5","Mixtures","YR.SEEDMIX"
"8bd8aecd","2023-11-10_MVP-SEEDMIX-5__70","32663dce","2023-12-14",39,25,0.83,3.52,0.09,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.55681818181818,"2023-11","YR","H2-SEEDMIX","SEEDMIX-5","Mixtures","YR.SEEDMIX"
"c2183c29","2023-11-10_MVP-SEEDMIX-5__71","32663dce","2023-12-14",33,22,0.81,2.5,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.2,"2023-11","YR","H2-SEEDMIX","SEEDMIX-5","Mixtures","YR.SEEDMIX"
"ef60a0c0","2023-11-10_MVP-SEEDMIX-5__72","32663dce","2023-12-14",30,17,0.52,1.98,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.04040404040404,"2023-11","YR","H2-SEEDMIX","SEEDMIX-5","Mixtures","YR.SEEDMIX"
"47f561b8","2023-11-29_MVP-ME-6__72","76aed01d","2023-12-14",35,21,0.88,2.76,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.89855072463768,"2023-11","YR","W6-ME","ME-6","Wild","YR.ME"
"206aa8f7","2023-11-29_MVP-ME-6__73","76aed01d","2023-12-14",17,12,0.11,0.38,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,7.89473684210526,"2023-11","YR","W6-ME","ME-6","Wild","YR.ME"
"085b1824","2023-11-29_MVP-ME-6__74","76aed01d","2023-12-14",33,21,0.87,2.56,0.1,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.90625,"2023-11","YR","W6-ME","ME-6","Wild","YR.ME"
"317cb59e","2023-11-29_MVP-ME-6__75","76aed01d","2023-12-14",25,15,0.23,0.95,0.06,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,6.31578947368421,"2023-11","YR","W6-ME","ME-6","Wild","YR.ME"
"5a03159d","2023-11-29_MVP-ME-6__76","76aed01d","2023-12-14",37,26,0.99,3.31,0.11,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.32326283987915,"2023-11","YR","W6-ME","ME-6","Wild","YR.ME"
"06e32c6b","2023-11-29_MVP-JR-5__77","9af54dd5","2023-12-14",30,17,0.38,1.71,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.67836257309941,"2023-11","YR","W4-VA","JR-5","Wild","YR.VA"
"45d0bfdc","2023-11-29_MVP-JR-5__78","9af54dd5","2023-12-14",33,21,0.42,2.7,0.05,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.85185185185185,"2023-11","YR","W4-VA","JR-5","Wild","YR.VA"
"d0f451ab","2023-11-29_MVP-JR-5__79","9af54dd5","2023-12-14",15,12,0.08,0.42,0.02,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.76190476190476,"2023-11","YR","W4-VA","JR-5","Wild","YR.VA"
"5333d4de","2023-11-29_MVP-JR-5__80","9af54dd5","2023-12-14",20,14,0.13,0.72,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.16666666666667,"2023-11","YR","W4-VA","JR-5","Wild","YR.VA"
"6493ece3","2023-11-29_MVP-JR-5__81","9af54dd5","2023-12-14",29,17,0.37,1.88,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.25531914893617,"2023-11","YR","W4-VA","JR-5","Wild","YR.VA"
"20c291e8","2023-11-29_MVP-JR-4__82","15b54320","2023-12-14",18,13,0.1,0.61,0.04,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,6.55737704918033,"2023-11","YR","W4-VA","JR-4","Wild","YR.VA"
"50cd12ef","2023-11-29_MVP-JR-4__83","15b54320","2023-12-14",21,16,0.19,0.84,0.03,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.57142857142857,"2023-11","YR","W4-VA","JR-4","Wild","YR.VA"
"af5ff4b8","2023-11-29_MVP-JR-4__84","15b54320","2023-12-14",28,17,0.45,1.81,0.06,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.31491712707182,"2023-11","YR","W4-VA","JR-4","Wild","YR.VA"
"338853c7","2023-11-29_MVP-JR-4__85","15b54320","2023-12-14",42,29,1.44,4.37,0.18,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.11899313501144,"2023-11","YR","W4-VA","JR-4","Wild","YR.VA"
"5b15b9e0","2023-11-29_MVP-JR-4__86","15b54320","2023-12-14",30,21,0.65,2.3,0.06,NA,"pea crab","zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.60869565217391,"2023-11","YR","W4-VA","JR-4","Wild","YR.VA"
"1a977b50","2023-11-29_MVP-LOLA-6__87","56a9d65d","2023-12-14",23,15,0.11,0.77,0.01,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,1.2987012987013,"2023-11","YR","S1-LOLA","LOLA-6","Selection","YR.LOLA"
"5de00dbd","2023-11-29_MVP-LOLA-6__88","56a9d65d","2023-12-14",39,25,1.24,4.2,0.13,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.0952380952381,"2023-11","YR","S1-LOLA","LOLA-6","Selection","YR.LOLA"
"4a5394ba","2023-11-29_MVP-LOLA-6__89","56a9d65d","2023-12-14",44,26,1.5,4.8,0.18,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.75,"2023-11","YR","S1-LOLA","LOLA-6","Selection","YR.LOLA"
"7e84f331","2023-11-29_MVP-LOLA-6__90","56a9d65d","2023-12-14",27,18,0.26,1.67,0.07,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.19161676646707,"2023-11","YR","S1-LOLA","LOLA-6","Selection","YR.LOLA"
"0a35b7ff","2023-11-29_MVP-LOLA-6__91","56a9d65d","2023-12-14",40,26,1.16,4.42,0.14,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.16742081447964,"2023-11","YR","S1-LOLA","LOLA-6","Selection","YR.LOLA"
"6771ee8c","2023-11-10_MVP-FL-4__92","a3b07ff4","2023-12-14",49,26,1.22,5.08,0.14,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.75590551181102,"2023-11","YR","W3-FL","FL-4","Wild","YR.FL"
"ad571154","2023-11-10_MVP-FL-4__93","a3b07ff4","2023-12-14",22,14,0.19,0.88,0.04,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,4.54545454545455,"2023-11","YR","W3-FL","FL-4","Wild","YR.FL"
"bba82adf","2023-11-10_MVP-FL-4__94","a3b07ff4","2023-12-14",30,20,0.48,1.77,0.06,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.38983050847458,"2023-11","YR","W3-FL","FL-4","Wild","YR.FL"
"7760ec56","2023-11-10_MVP-FL-4__95","a3b07ff4","2023-12-14",40,23,0.87,2.73,0.08,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.93040293040293,"2023-11","YR","W3-FL","FL-4","Wild","YR.FL"
"1caaeda9","2023-11-10_MVP-FL-4__96","a3b07ff4","2023-12-14",39,25,0.82,3.5,0.07,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2,"2023-11","YR","W3-FL","FL-4","Wild","YR.FL"
"7c23a756","2023-11-29_MVP-DEBY-5__97","dafb4ce4","2023-12-14",47,30,2.17,6.15,0.21,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,3.41463414634146,"2023-11","YR","S2-DEBY","DEBY-5","Selection","YR.DEBY"
"da435e81","2023-11-29_MVP-DEBY-5__98","dafb4ce4","2023-12-14",31,22,0.52,2.26,0.05,NA,NA,"zeasegnitz@gmail.com",FALSE,NA,NA,NA,NA,NA,2.21238938053097,"2023-11","YR","S2-DEBY","DEBY-5","Selection","YR.DEBY"
